"filename", "language", "Markdown", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package-lock.json", "JSON", 0, 0, 17041, 0, 0, 0, 1, 17042
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\package.json", "JSON", 0, 0, 58, 0, 0, 0, 1, 59
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\index.html", "HTML", 0, 0, 0, 21, 0, 23, 1, 45
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.css", "CSS", 0, 0, 0, 0, 501, 17, 89, 607
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\App.js", "JavaScript", 0, 36, 0, 0, 0, 2, 11, 49
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\alert.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\auth.js", "JavaScript", 0, 62, 0, 0, 0, 4, 15, 81
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\dietprofile.js", "JavaScript", 0, 60, 0, 0, 0, 3, 12, 75
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\exercise.js", "JavaScript", 0, 60, 0, 0, 0, 3, 16, 79
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\fDiary.js", "JavaScript", 0, 44, 0, 0, 0, 2, 12, 58
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\food.js", "JavaScript", 0, 79, 0, 0, 0, 25, 29, 133
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\goal.js", "JavaScript", 0, 62, 0, 0, 0, 3, 10, 75
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\meal.js", "JavaScript", 0, 61, 0, 0, 0, 3, 15, 79
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\profile.js", "JavaScript", 0, 105, 0, 0, 0, 6, 20, 131
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\sDiary.js", "JavaScript", 0, 43, 0, 0, 0, 2, 11, 56
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\sport.js", "JavaScript", 0, 78, 0, 0, 0, 2, 21, 101
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\types.js", "JavaScript", 0, 51, 0, 0, 0, 0, 9, 60
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Login.js", "JavaScript", 0, 63, 0, 0, 0, 0, 9, 72
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Register.js", "JavaScript", 0, 91, 0, 0, 0, 0, 9, 100
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\Dashboard.js", "JavaScript", 0, 106, 0, 0, 0, 2, 25, 133
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardActions.js", "JavaScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardExistingProfile.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\ProgressTable.js", "JavaScript", 0, 109, 0, 0, 0, 26, 38, 173
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\AddExercise.js", "JavaScript", 0, 203, 0, 0, 0, 22, 46, 271
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\ExerciseMain.js", "JavaScript", 0, 206, 0, 0, 0, 1, 48, 255
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\exercises\SportForm.js", "JavaScript", 0, 127, 0, 0, 0, 1, 33, 161
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodForm.js", "JavaScript", 0, 144, 0, 0, 0, 1, 30, 175
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodInfo.js", "JavaScript", 0, 91, 0, 0, 0, 4, 17, 112
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodItem.js", "JavaScript", 0, 93, 0, 0, 0, 0, 21, 114
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodMain.js", "JavaScript", 0, 404, 0, 0, 0, 65, 105, 574
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\Serving.js", "JavaScript", 0, 208, 0, 0, 0, 21, 34, 263
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\goals\GoalForm.js", "JavaScript", 0, 159, 0, 0, 0, 0, 21, 180
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Alert.js", "JavaScript", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Autocomplete.js", "JavaScript", 0, 87, 0, 0, 0, 106, 24, 217
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Landing.js", "JavaScript", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Navbar.js", "JavaScript", 0, 63, 0, 0, 0, 3, 6, 72
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\NotFound.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Spinner.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile-forms\DietProfileForm.js", "JavaScript", 0, 143, 0, 0, 0, 30, 11, 184
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile-forms\ProfileForm.js", "JavaScript", 0, 192, 0, 0, 0, 0, 17, 209
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\Profile.js", "JavaScript", 0, 0, 0, 0, 0, 44, 5, 49
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileAbout.js", "JavaScript", 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileDiet.js", "JavaScript", 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileItem.js", "JavaScript", 0, 37, 0, 0, 0, 0, 3, 40
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileMain.js", "JavaScript", 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileTop.js", "JavaScript", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\routing\PrivateRoute.js", "JavaScript", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\routing\Routes.js", "JavaScript", 0, 45, 0, 0, 0, 0, 5, 50
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\settings\DietProfile.js", "JavaScript", 0, 34, 0, 0, 0, 1, 3, 38
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\settings\SettingsMain.js", "JavaScript", 0, 58, 0, 0, 0, 27, 14, 99
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\index.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\alert.js", "JavaScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\auth.js", "JavaScript", 0, 60, 0, 0, 0, 1, 4, 65
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\dietprofile.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\exercise.js", "JavaScript", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\fDiary.js", "JavaScript", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\food.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\goal.js", "JavaScript", 0, 31, 0, 0, 0, 0, 5, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 25
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\meal.js", "JavaScript", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\profile.js", "JavaScript", 0, 44, 0, 0, 0, 0, 4, 48
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\sDiary.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\sport.js", "JavaScript", 0, 30, 0, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\store.js", "JavaScript", 0, 22, 0, 0, 0, 6, 8, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\api.js", "JavaScript", 0, 19, 0, 0, 0, 7, 3, 29
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\formatDate.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\setAuthToken.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\config\db.js", "JavaScript", 0, 18, 0, 0, 0, 1, 4, 23
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\middleware\auth.js", "JavaScript", 0, 21, 0, 0, 0, 3, 3, 27
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\middleware\checkObjectId.js", "JavaScript", 0, 7, 0, 0, 0, 1, 2, 10
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\CompleteMeals.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 21
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\DietProfile.js", "JavaScript", 0, 65, 0, 0, 0, 1, 2, 68
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Exercise.js", "JavaScript", 0, 27, 0, 0, 0, 9, 2, 38
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\ExerciseDiary.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Food.js", "JavaScript", 0, 31, 0, 0, 0, 4, 4, 39
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\FoodDiary.js", "JavaScript", 0, 46, 0, 0, 0, 0, 2, 48
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Goal.js", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 42
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Meal.js", "JavaScript", 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\MealSuggestion.js", "JavaScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Profile.js", "JavaScript", 0, 41, 0, 0, 0, 30, 3, 74
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Sport.js", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\User.js", "JavaScript", 0, 52, 0, 0, 0, 10, 8, 70
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\package-lock.json", "JSON", 0, 0, 19722, 0, 0, 0, 1, 19723
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\package.json", "JSON", 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\auth.js", "JavaScript", 0, 61, 0, 0, 0, 6, 11, 78
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\completedMeals.js", "JavaScript", 0, 44, 0, 0, 0, 1, 8, 53
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\dietprofile.js", "JavaScript", 0, 118, 0, 0, 0, 19, 33, 170
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\exercise.js", "JavaScript", 0, 182, 0, 0, 0, 3, 67, 252
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\fDiary.js", "JavaScript", 0, 107, 0, 0, 0, 55, 54, 216
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\food.js", "JavaScript", 0, 121, 0, 0, 0, 77, 38, 236
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\goal.js", "JavaScript", 0, 78, 0, 0, 0, 61, 22, 161
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\meal.js", "JavaScript", 0, 335, 0, 0, 0, 108, 158, 601
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\mealSuggestion.js", "JavaScript", 0, 50, 0, 0, 0, 4, 17, 71
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\profile.js", "JavaScript", 0, 106, 0, 0, 0, 24, 18, 148
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\sDiary.js", "JavaScript", 0, 99, 0, 0, 0, 0, 40, 139
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\sport.js", "JavaScript", 0, 55, 0, 0, 0, 8, 11, 74
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\users.js", "JavaScript", 0, 139, 0, 0, 0, 6, 25, 170
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\server.js", "JavaScript", 0, 27, 0, 0, 0, 5, 15, 47
"Total", "-", 38, 6116, 36881, 21, 501, 899, 1497, 45953